# SBD,#Brands,#Key,#Oth,#Rand,#Raw,#SimBrs,#SimKey,AvgWL,Dom len,Domain,Label,MaxWL,MinWL,Path,Path len,Protocol,RandD,Sbd len,Subdomain,URL len
0,0,1,0,4,7,0,0,5.142857142857143,9,angelfire,0,9,3,/me3/mandaplay/index.html,25,http,True,3,www,49
0,0,1,0,5,8,0,0,5.5,9,geocities,0,9,3,/tokyo/courtyard/9155/carosmen.htm,34,http,True,3,www,58
0,0,2,0,3,6,0,0,5.5,6,tripod,0,8,3,/~cheekokr/enter.html,21,http,True,7,members,46
0,0,1,0,0,3,0,0,5.333333333333333,10,aoihayashi,0,10,3,/,1,http,False,3,www,26
0,0,1,0,2,4,0,0,7.75,9,geocities,0,16,3,/shinji_is_my_man/,18,http,True,3,www,42
0,1,0,0,2,4,0,0,6.25,10,cruelangel,0,10,3,/divinitas/,11,http,True,3,www,36
0,0,1,0,3,6,0,0,6.666666666666667,6,tripod,0,13,2,/dt/twisteddesire.html,22,http,True,12,death_of_ase,52
0,1,0,0,2,4,0,0,6.0,10,orchidveil,0,10,3,/trapdoor/,10,http,True,3,www,35
0,0,1,0,3,6,0,0,5.666666666666667,9,geocities,0,11,3,/roryheadmav/main.html,22,http,True,3,www,46
0,0,1,0,3,5,0,0,6.0,9,angelfire,0,9,3,/anime4/wildefyre/,18,http,True,3,www,42
0,1,0,0,0,3,0,0,4.666666666666667,8,yaoiluvr,0,8,3,,0,http,False,3,www,23
0,0,1,0,2,5,0,0,5.2,9,angelfire,0,9,3,/goth2/azrael/,14,http,True,3,www,38
0,1,1,0,2,6,0,0,4.0,7,webring,0,7,1,/hub,4,http,True,1,m,36
0,0,0,0,3,3,0,0,3.6666666666666665,4,free,0,5,2,/,1,http,True,5,onami,21
0,0,1,0,2,4,0,0,7.0,9,geocities,0,13,3,/obsidianblaze/,15,http,True,3,www,39
0,0,1,0,2,4,0,0,8.25,7,ezboard,0,19,3,/badragonballyaoirpg,20,http,False,4,p080,43
0,0,0,0,2,3,0,0,4.666666666666667,8,pureyaoi,0,8,3,/,1,http,True,3,www,24
0,0,1,0,2,4,0,0,4.5,13,gaytoon-japan,0,7,3,,0,http,True,3,www,28
0,1,0,0,1,5,0,0,5.0,11,clubclassic,0,11,3,/yaoi.html,10,http,True,3,www,36
0,0,1,0,3,6,0,0,5.5,9,geocities,0,9,3,/apple_toh/index.html,21,http,True,3,www,45
0,0,1,0,1,3,0,0,4.333333333333333,7,gongaga,0,7,3,/,1,http,True,3,www,23
0,0,1,0,3,5,0,0,7.2,9,angelfire,0,17,3,/goth/doujinshi_rapture/,24,http,True,3,www,48
0,0,1,0,2,3,0,0,8.333333333333334,9,geocities,0,13,3,/plugplaymanga/,15,http,True,0,,35
0,0,1,0,2,4,0,0,4.75,14,kinu-sekigushi,0,9,3,/,1,http,True,3,www,30
0,0,1,0,3,6,0,0,6.5,9,geocities,0,13,3,/can_it_be_sin/index_2.html,27,http,True,3,www,51
0,0,1,0,2,4,0,0,8.0,11,livejournal,0,11,3,/jrockyaoi/,11,http,True,9,community,43
0,0,1,0,3,4,0,0,6.0,13,reverie-noire,0,9,3,/,1,http,True,9,arachnoid,35
0,0,1,0,2,3,0,0,5.0,6,tripod,0,6,3,/,1,http,True,6,totchi,25
0,1,1,0,2,7,0,0,4.142857142857143,5,arcor,0,6,2,/jrock-yaoi/index2.htm,22,http,True,4,home,42
0,1,0,0,4,8,0,0,4.375,6,dtwins,0,10,2,/jfic/efiction30/index.php,26,http,True,3,www,49
0,0,1,0,3,4,0,0,6.0,6,tripod,0,8,3,/starchan/,10,http,True,7,members,35
0,0,1,0,2,4,0,0,6.5,9,geocities,0,11,3,/hushie_hush/,13,http,True,3,www,37
0,0,1,0,1,3,0,0,5.666666666666667,11,cursedmoons,0,11,3,/,1,http,True,3,www,27
0,1,0,0,1,3,0,0,6.0,12,worldshaking,0,12,3,/,1,http,True,3,www,28
0,0,1,0,1,3,0,0,4.666666666666667,8,shoujoai,0,8,3,/,1,http,True,3,www,24
0,0,1,0,4,7,0,0,5.428571428571429,9,angelfire,0,9,3,/anime2/yurifics/index.html,27,http,True,3,www,51
0,1,1,0,3,5,0,0,9.2,5,yahoo,0,27,3,/group/lilypetalsandfallendewdrops/,35,http,False,6,groups,58
0,0,1,0,5,8,0,0,5.125,12,privateholes,0,12,3,/anime/anime-sex/index6.html,28,http,True,3,www,55
0,0,1,0,5,8,0,0,5.25,12,privateholes,0,12,3,/anime/anime-asia/index6.html,29,http,True,3,www,56
0,0,1,0,3,5,0,0,5.0,21,anime-hentai-cartoons,0,8,3,/,1,http,True,3,www,37
0,1,0,0,2,3,0,0,6.0,7,eresmas,0,8,3,/,1,http,True,8,idd00788,28
0,0,1,0,1,3,0,0,4.666666666666667,8,applicot,0,8,3,/,1,http,True,3,www,24
0,0,1,0,4,8,0,0,4.0,12,adultcompass,0,12,1,/avs/0/1/acw/index.html,23,http,True,0,,46
