# SBD,#Brands,#Key,#Oth,#Rand,#Raw,#SimBrs,#SimKey,AvgWL,Dom len,Domain,Label,MaxWL,MinWL,Path,Path len,Protocol,RandD,Sbd len,Subdomain,URL len
0,0,0,0,6,9,0,0,5.0,10,simnokomun,1,10,2,/upload/omo/newgd2/newgd/moole/index.php,40,http,True,0,,60
0,3,1,0,5,14,6,3,2.9285714285714284,2,co,1,5,1,/css/,5,http,True,4,di11,65
0,0,0,0,6,8,10,6,4.875,9,alligator,1,9,2,/wp-content/wall/gallary/fin/,29,http,True,3,www,54
0,0,1,0,1,3,0,0,5.666666666666667,7,tinyurl,1,7,3,/le5tcvf,8,http,True,0,,26
0,0,1,0,1,3,0,0,5.666666666666667,7,tinyurl,1,7,3,/ll59xhm,8,http,True,0,,26
0,1,0,0,1,3,0,0,3.0,2,tr,1,5,2,/1e0rQ,6,https,True,0,,19
0,1,1,0,6,10,0,0,5.9,13,gommetermiche,1,13,2,/administrator/modules/auth.att.secure/login.htm,48,https,True,3,www,76
0,2,1,0,14,19,0,0,6.684210526315789,21,indonesianwonderagate,1,21,2,/zee/validate.htm,17,http,True,0,,152
0,0,1,0,1,3,0,0,5.666666666666667,7,tinyurl,1,7,3,/ll59xhm,8,http,True,0,,26
0,1,1,0,2,4,0,0,5.25,3,esy,1,12,2,/home,5,http,True,12,consultafgts,31
0,1,1,0,3,8,0,0,5.5,8,ultrakoz,1,11,3,/uploads/files/reloadedatt.net.html,35,http,False,3,www,58
0,1,2,0,3,8,0,0,4.0,9,blackabba,1,9,2,/sign-on/yahoo/Y1.html,22,http,True,3,www,46
0,0,1,0,4,6,0,0,4.666666666666667,12,carretroller,1,12,2,/sss/image.htm,14,http,True,0,,40
0,2,1,0,3,8,0,0,5.25,15,mamujutengahkab,1,15,2,/terasconfig/www.att.net/,25,https,True,3,www,58
0,2,1,0,7,11,0,0,5.636363636363637,15,sandralucashyde,1,15,2,/login.yahoo/yahoo.com%20[Lastet%20Update]/indexz.html,54,http,True,0,,80
0,0,1,0,2,3,0,0,8.666666666666666,15,extratoinativos,1,15,3,/Inativos/,10,http,True,0,,36
0,0,1,0,2,5,0,0,5.0,14,consultar-fgts,1,9,3,/1index.php,11,http,True,0,,36
0,0,1,0,8,10,0,0,4.9,19,portal-consultafgts,1,12,2,/caixa.gov.br/pages/inter/index.php,35,http,True,0,,65
0,0,0,0,5,7,0,0,5.714285714285714,7,nitrado,1,9,1,/finance/fnce/,14,http,True,17,ni1232966-3.web20,54
0,0,1,0,2,4,0,0,6.75,13,fgtsliberacao,1,13,3,/processa.php,13,http,True,0,,37
0,0,1,0,5,7,0,0,5.857142857142857,10,jokextreme,1,10,3,/irs.return/Payment%20Lookup.html,33,https,True,0,,55
0,1,0,0,5,8,0,0,5.375,3,esy,1,10,2,/recovery-chekpoint-login.html,30,http,True,13,fb-safetyhelp,57
0,1,0,0,5,8,0,0,6.625,3,esy,1,20,2,/recovery-chekpoint-login.html,30,http,True,23,fb-securitypolicy101inc,67
0,1,0,0,5,8,0,0,7.625,3,esy,1,28,2,/recovery-chekpoint-login.html,30,http,True,31,fb-securityaccountlogincheck808,75
0,1,2,0,3,7,0,0,5.285714285714286,17,laghaimrevolution,1,17,2,/sign-on/yahoo/Y1.html,22,http,True,0,,50
0,1,0,0,6,8,0,0,6.125,3,esy,1,10,2,/recovery-chekpoint-login.html,30,http,True,19,settings-acct024631,63
0,0,1,0,3,5,0,0,6.2,15,horizongarments,1,15,3,/Asher/image.htm,16,http,True,0,,42
0,0,0,0,3,3,0,0,4.666666666666667,9,shittyurl,1,9,2,/5u,3,http,True,0,,23
0,0,0,0,5,7,0,0,5.0,7,nitrado,1,9,1,/ye/cmbr/,9,http,True,17,ni1232966-4.web16,49
0,3,1,0,3,7,0,0,5.142857142857143,3,hol,1,8,2,/facebook-security,18,http,True,17,system-support-il,49
0,0,0,0,2,3,0,0,5.0,2,ow,1,11,2,/IIzC30bBG3c,12,http,True,0,,24
0,0,1,0,1,3,0,0,9.0,5,epizy,1,19,3,,0,http,False,19,caixaservicosonline,36
0,2,1,0,8,12,0,0,5.5,15,sandralucashyde,1,15,2,/login.yahoo/yahoo.com%20%5BLastet%20Update%5D/indexz.html,58,http,True,0,,84
0,0,1,0,7,11,0,0,6.545454545454546,6,myjino,1,14,2,/byte/Cookies/Cookies/Pelewura/onlineverifica@tion/Preview.htm,62,http,False,10,anniey06l5,89
0,0,1,0,4,6,0,0,6.0,13,supportt-team,1,9,3,/Confirmed/MyAccount/,21,http,True,3,www,49
0,0,1,0,6,8,0,0,9.5,10,zohopublic,1,25,3,/koogee/form/ACTIVATIONFORM/formperma/g51Bb2g53DaChBA4be0h2kCA_,63,https,True,5,forms,91
0,2,1,0,3,8,0,0,4.25,13,surveybuilder,1,13,1,/s/oFh4R/nav,12,https,True,3,www,49
0,1,0,0,1,5,0,0,3.6,4,doko,1,6,1,/vschbi.html,12,https,True,1,a,30
0,0,1,0,6,8,0,0,10.0,10,zohopublic,1,25,3,/foolieax/form/VERIFICATIONFROM/formperma/hg_466jHhCK6_6D61K5AC9eA4,67,https,True,5,forms,95
0,0,1,0,4,5,0,0,6.0,11,muththamizh,1,11,3,/llc/production-llc/,20,http,True,0,,42
0,0,1,0,1,4,0,0,13.5,16,cortazarurdaneta,1,32,3,/chn/5adfd99cf03b06771d81f8b5607f1d7e/,38,http,True,0,,65
0,0,2,0,3,7,0,0,10.428571428571429,19,paradisepaymentgold,1,20,3,/verification/M2908D716C8M54904AC8/card.php,43,http,True,12,chasebankusa,86
0,0,1,0,2,3,0,0,6.666666666666667,12,fruitfuldemo,1,12,3,/,1,http,True,5,briut,30
0,0,1,0,3,6,0,0,6.833333333333333,22,afraniorodriguezrosero,1,22,2,/wp-admin/themes/pdf/,21,http,True,0,,54
0,2,1,0,7,12,0,0,4.916666666666667,3,hol,1,8,1,/facebook-support,17,http,True,19,recovery-account-fb,77
0,1,1,0,2,5,0,0,6.8,20,verification-members,1,12,3,/webapps/3db39/,15,https,True,0,,47
