Alexa Rank,Brand count,Domain,Known TLD,Label,Num Subdomains,Path,Protocol,URL Length
1,1,death_of_ase.tripod.com,1,0,0,/dt/twisteddesire.html,http,0
1,1,www.orchidveil.net,1,0,0,/trapdoor/,http,0
0,1,www.geocities.com,1,0,0,/roryheadmav/main.html,http,0
0,1,www.angelfire.com,1,0,0,/anime4/wildefyre/,http,0
1,1,www.yaoiluvr.net,1,0,0,,http,0
0,1,www.angelfire.com,1,0,0,/goth2/azrael/,http,0
2,1,m.webring.com,1,0,0,/hub,http,0
2,1,onami.free.fr,0,0,0,/,http,0
0,1,www.geocities.com,1,0,0,/obsidianblaze/,http,0
2,1,p080.ezboard.com,1,0,0,/badragonballyaoirpg,http,0
1,1,www.pureyaoi.org,1,0,0,/,http,0
2,1,www.gaytoon-japan.com,1,0,0,,http,0
2,1,www.clubclassic.net,1,0,0,/yaoi.html,http,0
0,1,www.geocities.com,1,0,0,/apple_toh/index.html,http,0
2,1,www.gongaga.com,1,0,0,/,http,0
0,1,www.angelfire.com,1,0,0,/goth/doujinshi_rapture/,http,0
0,1,geocities.com,1,0,0,/plugplaymanga/,http,0
1,1,www.kinu-sekigushi.com,1,0,0,/,http,0
0,1,www.geocities.com,1,0,0,/can_it_be_sin/index_2.html,http,0
2,1,community.livejournal.com,1,0,0,/jrockyaoi/,http,0
1,1,arachnoid.reverie-noire.com,1,0,0,/,http,0
1,1,totchi.tripod.com,1,0,0,/,http,0
0,1,home.arcor.de,1,0,0,/jrock-yaoi/index2.htm,http,0
2,1,www.dtwins.co.uk,0,0,1,/jfic/efiction30/index.php,http,0
0,1,members.tripod.com,1,0,0,/starchan/,http,0
0,1,www.geocities.com,1,0,0,/hushie_hush/,http,0
2,1,www.cursedmoons.com,1,0,0,/,http,0
1,1,www.worldshaking.net,1,0,0,/,http,0
1,1,www.shoujoai.com,1,0,0,/,http,0
0,1,www.angelfire.com,1,0,0,/anime2/yurifics/index.html,http,0
0,1,groups.yahoo.com,1,0,0,/group/lilypetalsandfallendewdrops/,http,2
2,1,www.privateholes.com,1,0,0,/anime/anime-sex/index6.html,http,2
2,1,www.privateholes.com,1,0,0,/anime/anime-asia/index6.html,http,2
1,1,www.anime-hentai-cartoons.com,1,0,0,/,http,0
2,1,idd00788.eresmas.net,1,0,0,/,http,0
1,1,www.applicot.com,1,0,0,/,http,0
2,1,adultcompass.com,1,0,0,/avs/0/1/acw/index.html,http,0
1,1,www.adult-anime-hentai.com,1,0,0,/,http,0
1,1,www.emuck.com:3000,1,0,0,/archive/egan.html,http,0
2,1,danoday.com,1,0,0,/summit.shtml,http,0
0,1,groups.yahoo.com,1,0,0,/group/voice_actor_appreciation/links/events_and_appearanc_000985383761/,http,1
1,1,voice-international.com,1,0,0,/,http,0
1,1,www.livinglegendsltd.com,1,0,0,/,http,0
2,1,voicechasers.com,1,0,0,/forum/viewforum.php,http,0
1,1,hollywoodcollectorshow.com,1,0,0,/,http,0
0,1,www.geocities.com,1,0,0,/hollywood/hills/8944/,http,0
2,1,asifa.proboards61.com,1,0,0,/index.cgi,http,2
0,1,groups.yahoo.com,1,0,0,/group/voice_actor_appreciation/cal///group/voice_actor_appreciation/,http,1
0,1,us.imdb.com,1,0,0,/name/nm0267724/,http,0
2,1,www.pamelynferdin.com,1,0,0,/,http,0
1,1,www.pamferdin.com,1,0,0,/,http,0
1,1,www.monkeydog.com,1,0,0,/,http,0
1,1,teamknightrider.com,1,0,0,/cast/plato/plato.html,http,0
0,1,us.imdb.com,1,0,0,/name/nm0281486/,http,0
0,1,anp.awn.com,1,0,0,/anifest-3.html,http,0
0,1,www.awn.com,1,0,0,/mag/issue1.7/articles/kowlaskidi1.7.html,http,2
0,1,www.awn.com,1,0,0,/mag/issue2.7/2.7pages/2.7jacksonjones.html,http,2
0,1,www.awn.com,1,0,0,/mag/issue1.9/articles/kowlagrinch1.9.html,http,2
0,1,us.imdb.com,1,0,0,/name/nm0004931/,http,0
2,1,www.voicechasers.com,1,0,0,/database/showactor.php,http,2
2,1,www.vortex.com,1,0,0,/av.html,http,0
2,1,starbulletin.com,1,0,0,/96/07/11/features/story3.html,http,0
0,1,anp.awn.com,1,0,0,/juneforay.html,http,0
0,1,www.cerias.purdue.edu,1,0,1,/homes/spaf/yucks/v2/msg00061.html,http,2
0,1,www.awn.com,1,0,0,/mag/issue5.03/5.03pages/evanierforay.php3,http,2
0,1,www.awn.com,1,0,0,/mag/issue4.02/4.02pages/foraylittlejohn.php3,http,2
2,1,archives.seattletimes.nwsource.com,1,0,1,/cgi-bin/texis.cgi/web/vortex/display,http,1
0,1,www.geocities.com,1,0,0,/enchantedforest/dell/8545/fraley.html,http,2
0,1,us.imdb.com,1,0,0,/name/nm0289710/,http,0
2,1,www.voicechasers.com,1,0,0,/database/showactor.php,http,2
2,1,patfraley.com,1,0,0,/,http,0
2,1,nerf-herders-anonymous.net,1,0,0,/patfraley.html,http,0
2,1,www.vasta.org,1,0,0,/professional_index/fraleyp.html,http,0
2,1,news.toonzone.net,1,0,0,/2000/oct/27/hearing_voices.php,http,2
0,1,members.tripod.com,1,0,0,/~leemichaelwithers/sfh.htm,http,0
2,1,www.radiospirits.com,1,0,0,/onradio/meethost_sf.asp,http,0
0,1,us.imdb.com,1,0,0,/name/nm0292677/,http,0
2,1,freberg.westnet.com,1,0,0,/,http,0
0,1,www.aarp.org,1,0,0,/mmaturity/mar_apr00_preview/creators.html,http,2
2,1,www.cosmik.com,1,0,0,/aa-october99/stan_freberg.html,http,0
2,1,www.tsimon.com,1,0,0,/freberg.htm,http,0
1,1,www.firezine.net,1,0,0,/issue6/fz6_07.htm,http,0
1,1,www.thehutch.com,1,0,0,/rabhutch/freberg.htm,http,0
1,1,www.povonline.com,1,0,0,/cols/col051.htm,http,0
1,1,www.povonline.com,1,0,0,/2001/news060901.htm,http,0
0,1,www.austinchronicle.com,1,0,0,/issues/dispatch/1999-12-10/music_feature3.html,http,1
2,1,www.dawsbutler.com,1,0,0,/freberg.htm,http,0
